Time,GENE_gfp,M_10fthf_c,M_13dpg_c,M_2ddg6p_c,M_2pg_c,M_3pg_c,M_4abz_c,M_4adochor_c,M_5mthf_c,M_5pbdra,M_6pgc_c,M_6pgl_c,M_78dhf_c,M_78mdp_c,M_ac_c,M_accoa_c,M_actp_c,M_adp_c,M_aicar_c,M_air_c,M_akg_c,M_ala_L_c,M_ala_L_c_tRNA_c,M_amp_c,M_arg_L_c,M_arg_L_c_tRNA_c,M_asn_L_c,M_asn_L_c_tRNA_c,M_asp_L_c,M_asp_L_c_tRNA_c,M_atp_c,M_cadav_c,M_cair_c,M_cdp_c,M_chor_c,M_cit_c,M_clasp_c,M_cmp_c,M_co2_c,M_coa_c,M_ctp_c,M_cys_L_c,M_cys_L_c_tRNA_c,M_dhap_c,M_dhf_c,M_e4p_c,M_etoh_c,M_f6p_c,M_faicar_c,M_fdp_c,M_fgam_c,M_fgar_c,M_for_c,M_fum_c,M_g1p_c,M_g3p_c,M_g6p_c,M_gaba_c,M_gar_c,M_gdp_c,M_glc_D_c,M_gln_L_c,M_gln_L_c_tRNA_c,M_glu_L_c,M_glu_L_c_tRNA_c,M_glx_c,M_gly3p_c,M_gly_L_c,M_gly_L_c_tRNA_c,M_glycoA_c,M_gmp_c,M_gtp_c,M_h2o2_c,M_h2o_c,M_h2s_c,M_h_c,M_hco3_c,M_his_L_c,M_his_L_c_tRNA_c,M_hx_c,M_icit_c,M_ile_L_c,M_ile_L_c_tRNA_c,M_imp_c,M_indole_c,M_lac_D_c,M_leu_L_c,M_leu_L_c_tRNA_c,M_lys_L_c,M_lys_L_c_tRNA_c,M_mal_L_c,M_maltodextrin3_c,M_maltodextrin4_c,M_maltodextrin5_c,M_maltodextrin6_c,M_maltose_c,M_met_L_c,M_met_L_c_tRNA_c,M_methf_c,M_mglx_c,M_mlthf_c,M_mql8_c,M_mqn8_c,M_nad_c,M_nadh_c,M_nadp_c,M_nadph_c,M_nh3_c,M_o2_c,M_oaa_c,M_omp_c,M_or_c,M_pep_c,M_phe_L_c,M_phe_L_c_tRNA_c,M_pi_c,M_ppi_c,M_pro_L_c,M_pro_L_c_tRNA_c,M_prop_c,M_prpp_c,M_pyr_c,M_q8_c,M_q8h2_c,M_r5p_c,M_ru5p_D_c,M_s7p_c,M_saicar_c,M_ser_L_c,M_ser_L_c_tRNA_c,M_succ_c,M_succoa_c,M_thf_c,M_thr_L_c,M_thr_L_c_tRNA_c,M_trp_L_c,M_trp_L_c_tRNA_c,M_tyr_L_c,M_tyr_L_c_tRNA_c,M_udp_c,M_ump_c,M_utp_c,M_val_L_c,M_val_L_c_tRNA_c,M_xmp_c,M_xu5p_D_c,OPEN_GENE_gfp,PROTEIN_gfp,RIBOSOME,RIBOSOME_START_gfp,RNAP,mRNA_gfp,tRNA_c,M_co2_e,M_h_e,M_o2_e,gfp_e,INDUCER
0.0,5.0e-6,0.0,0.0165,0.0,0.0918,6.12540218007279,0.0,0.0,0.0,0.0,0.016681827213516,0.0,0.0,0.0,25.9255391111111,0.196526666666667,1.07,0.7965461028149,0.0,0.0,0.390902589657131,3.057083333,0.0,0.020214773480828,1.742066667,0.0,0.732083333,0.0,1.684433333,0.0,1.55678505906,0.0,0.0,0.202160661300444,0.0,0.002475905047875,0.0,0.044934852459552,0.0752,1.37,0.896096571702818,0.125033333,0.0,3.06,0.0,0.038087158609818,0.0,0.029223321159843,0.0,3.64342489758374,0.0,0.0,0.0,0.575481519275778,0.0,2.194359885413,0.045794166353884,0.0,0.0,0.145815640978631,0.002034885447452,0.276016667,0.0,104.3866667,0.0,0.0,0.376776333333333,2.055666667,0.0,0.0,0.007225527833522,0.87062515482325,0.0,100000.0,0.0,100000.0,0.0,1.743616667,0.0,0.0,0.003332625288528,1.5016,0.0,0.272,0.0,2.1335490438458,1.5048,0.0,1.164433333,0.0,2.5482468105652,0.0,0.0,0.0,3.0e-5,0.318515684774292,1.54955,0.0,0.0,0.0,0.0,0.0,0.0,0.051550666666667,0.063028093647548,0.013776,0.005857984521586,0.0,1000.0,0.02310699323129,0.0,0.0,3.44226311498977,1.607833333,0.0,1000.0,1.0,1.756166667,0.0,0.0,0.258,5.81292243656448,0.0,0.0,0.055402981394952,0.035171753206554,0.006378622722433,0.0,1.364916667,0.0,5.68248099036394,0.233,0.0,1.591416667,0.0,2.475933333,0.0,1.684316667,0.0,0.211656085820291,0.020557683015793,0.845161444077437,1.892766667,0.0,0.0,0.181,0.0,0.0,0.00215,0.0,6.75e-5,0.0,10000.0,0.0,100000.0,100000.0,0.0,3.5e-5
0.01,4.996291426927523e-6,0.0,0.0165,0.0,0.0918,6.12540218007279,0.0,0.0,0.0,0.0,0.016681827213516,0.0,0.0,0.0,25.9255391111111,0.196526666666667,1.07,0.7965461028149,0.0,0.0,0.390902589657131,3.057083333,0.0,0.027978777437526893,1.742066667,0.0,0.732083333,0.0,1.684433333,0.0,1.5419511228829181,0.0,0.0,0.202160661300444,0.0,0.002475905047875,0.0,0.05814178482414046,0.0752,1.37,0.8983736476847753,0.125033333,0.0,3.06,0.0,0.038087158609818,0.0,0.029223321159843,0.0,3.64342489758374,0.0,0.0,0.0,0.575481519275778,0.0,2.194359885413,0.045794166353884,0.0,0.0,0.145815640978631,0.002034885447452,0.276016667,0.0,104.3866667,0.0,0.0,0.376776333333333,2.055666667,0.0,0.0,0.013908145514773512,0.8679526244549428,0.0,99104.14075195501,0.0,100000.0,0.0,1.743616667,0.0,0.0,0.003332625288528,1.5016,0.0,0.272,0.0,2.1335490438458,1.5048,0.0,1.164433333,0.0,2.5482468105652,0.0,0.0,0.0,3.0e-5,0.318515684774292,1.54955,0.0,0.0,0.0,0.0,0.0,0.0,0.051550666666667,0.063028093647548,0.013776,0.005857984521586,0.0,1000.0,0.02310699323129,0.0,0.0,3.44226311498977,1.607833333,0.0,991.3250784651894,0.9420411884286825,1.756166667,0.0,0.0,0.258,5.81292243656448,0.0,0.0,0.055402981394952,0.035171753206554,0.006378622722433,0.0,1.364916667,0.0,5.68248099036394,0.233,0.0,1.591416667,0.0,2.475933333,0.0,1.684316667,0.0,0.211656085820291,0.027290097219450853,0.8549401715948253,1.892766667,0.0,0.0,0.181,3.708573072475237e-9,0.0,0.00215,0.0,6.749629142692756e-5,4.335659256517265e-6,10000.0,0.0,100000.0,100000.0,0.0,3.4996291426927514e-5
0.02,4.996280922351602e-6,0.0,0.0165,0.0,0.0918,6.12540218007279,0.0,0.0,0.0,0.0,0.016681827213516,0.0,0.0,0.0,25.9255391111111,0.196526666666667,1.07,0.7965461028149,0.0,0.0,0.390902589657131,3.057083333,0.0,0.03572292770053973,1.742066667,0.0,0.732083333,0.0,1.684433333,0.0,1.5273223700558514,0.0,0.0,0.202160661300444,0.0,0.002475905047875,0.0,0.07123336461415536,0.0752,1.37,0.900625352561864,0.125033333,0.0,3.06,0.0,0.038087158609818,0.0,0.029223321159843,0.0,3.64342489758374,0.0,0.0,0.0,0.575481519275778,0.0,2.194359885413,0.045794166353884,0.0,0.0,0.145815640978631,0.002034885447452,0.276016667,0.0,104.3866667,0.0,0.0,0.376776333333333,2.055666667,0.0,0.0,0.0205299498784513,0.8653191043391626,0.0,98216.31744468646,0.0,100000.0,0.0,1.743616667,0.0,0.0,0.003332625288528,1.5016,0.0,0.272,0.0,2.1335490438458,1.5048,0.0,1.164433333,0.0,2.5482468105652,0.0,0.0,0.0,3.0e-5,0.318515684774292,1.54955,0.0,0.0,0.0,0.0,0.0,0.0,0.051550666666667,0.063028093647548,0.013776,0.005857984521586,0.0,1000.0,0.02310699323129,0.0,0.0,3.44226311498977,1.607833333,0.0,982.719604828518,0.887556497636404,1.756166667,0.0,0.0,0.258,5.81292243656448,0.0,0.0,0.055402981394952,0.035171753206554,0.006378622722433,0.0,1.364916667,0.0,5.68248099036394,0.233,0.0,1.591416667,0.0,2.475933333,0.0,1.684316667,0.0,0.211656085820291,0.033964543143547014,0.8646164521087529,1.892766667,0.0,0.0,0.181,3.7190776483970026e-9,0.0,0.00215,0.0,6.749628092235166e-5,8.642317396065464e-6,10000.0,0.0,100000.0,100000.0,0.0,3.49962809223516e-5
0.03,4.996264725484391e-6,0.0,0.0165,0.0,0.0918,6.12540218007279,0.0,0.0,0.0,0.0,0.016681827213516,0.0,0.0,0.0,25.9255391111111,0.196526666666667,1.07,0.7965461028149,0.0,0.0,0.390902589657131,3.057083333,0.0,0.04344724125076501,1.742066667,0.0,0.732083333,0.0,1.684433333,0.0,1.512896710409444,0.0,0.0,0.202160661300444,0.0,0.002475905047875,0.0,0.08421060592738201,0.0752,1.37,0.9028525379190677,0.125033333,0.0,3.06,0.0,0.038087158609818,0.0,0.029223321159843,0.0,3.64342489758374,0.0,0.0,0.0,0.575481519275778,0.0,2.194359885413,0.045794166353884,0.0,0.0,0.145815640978631,0.002034885447452,0.276016667,0.0,104.3866667,0.0,0.0,0.376776333333333,2.055666667,0.0,0.0,0.027091504518436095,0.8627247259482598,0.0,97336.45779288454,0.0,100000.0,0.0,1.743616667,0.0,0.0,0.003332625288528,1.5016,0.0,0.272,0.0,2.1335490438458,1.5048,0.0,1.164433333,0.0,2.5482468105652,0.0,0.0,0.0,3.0e-5,0.318515684774292,1.54955,0.0,0.0,0.0,0.0,0.0,0.0,0.051550666666667,0.063028093647548,0.013776,0.005857984521586,0.0,1000.0,0.02310699323129,0.0,0.0,3.44226311498977,1.607833333,0.0,974.1833746300417,0.8363388047173099,1.756166667,0.0,0.0,0.258,5.81292243656448,0.0,0.0,0.055402981394952,0.035171753206554,0.006378622722433,0.0,1.364916667,0.0,5.68248099036394,0.233,0.0,1.591416667,0.0,2.475933333,0.0,1.684316667,0.0,0.211656085820291,0.0405815256323544,0.874191928813349,1.892766667,0.0,0.0,0.181,3.7352745156075935e-9,0.0,0.00215,0.0,6.749626472548443e-5,1.2916517142029941e-5,10000.0,0.0,100000.0,100000.0,0.0,3.499626472548439e-5
0.04,4.99625761974913e-6,0.0,0.0165,0.0,0.0918,6.12540218007279,0.0,0.0,0.0,0.0,0.016681827213516,0.0,0.0,0.0,25.9255391111111,0.196526666666667,1.07,0.7965461028149,0.0,0.0,0.390902589657131,3.057083333,0.0,0.05115173539234692,1.742066667,0.0,0.732083333,0.0,1.684433333,0.0,1.498671321320579,0.0,0.0,0.202160661300444,0.0,0.002475905047875,0.0,0.09707451342153492,0.0752,1.37,0.90505546836676,0.125033333,0.0,3.06,0.0,0.038087158609818,0.0,0.029223321159843,0.0,3.64342489758374,0.0,0.0,0.0,0.575481519275778,0.0,2.194359885413,0.045794166353884,0.0,0.0,0.145815640978631,0.002034885447452,0.276016667,0.0,104.3866667,0.0,0.0,0.376776333333333,2.055666667,0.0,0.0,0.03359336745772361,0.8601689045985196,0.0,96464.490202751,0.0,100000.0,0.0,1.743616667,0.0,0.0,0.003332625288528,1.5016,0.0,0.272,0.0,2.1335490438458,1.5048,0.0,1.164433333,0.0,2.5482468105652,0.0,0.0,0.0,3.0e-5,0.318515684774292,1.54955,0.0,0.0,0.0,0.0,0.0,0.0,0.051550666666667,0.063028093647548,0.013776,0.005857984521586,0.0,1000.0,0.02310699323129,0.0,0.0,3.44226311498977,1.607833333,0.0,965.7161616940679,0.7881956022786911,1.756166667,0.0,0.0,0.258,5.81292243656448,0.0,0.0,0.055402981394952,0.035171753206554,0.006378622722433,0.0,1.364916667,0.0,5.68248099036394,0.233,0.0,1.591416667,0.0,2.475933333,0.0,1.684316667,0.0,0.211656085820291,0.04714154485101833,0.8836676494348531,1.892766667,0.0,0.0,0.181,3.742380250867742e-9,0.0,0.00215,0.0,6.749625761974916e-5,1.7158518354629088e-5,10000.0,0.0,100000.0,100000.0,0.0,3.499625761974914e-5
0.05,4.996244908488601e-6,0.0,0.0165,0.0,0.0918,6.12540218007279,0.0,0.0,0.0,0.0,0.016681827213516,0.0,0.0,0.0,25.9255391111111,0.196526666666667,1.07,0.7965461028149,0.0,0.0,0.390902589657131,3.057083333,0.0,0.05883642774583661,1.742066667,0.0,0.732083333,0.0,1.684433333,0.0,1.4846434256354437,0.0,0.0,0.202160661300444,0.0,0.002475905047875,0.0,0.10982608290342401,0.0752,1.37,0.907234410484656,0.125033333,0.0,3.06,0.0,0.038087158609818,0.0,0.029223321159843,0.0,3.64342489758374,0.0,0.0,0.0,0.575481519275778,0.0,2.194359885413,0.045794166353884,0.0,0.0,0.145815640978631,0.002034885447452,0.276016667,0.0,104.3866667,0.0,0.0,0.376776333333333,2.055666667,0.0,0.0,0.04003609148069074,0.857651070268912,0.0,95600.34373150519,0.0,100000.0,0.0,1.743616667,0.0,0.0,0.003332625288528,1.5016,0.0,0.272,0.0,2.1335490438458,1.5048,0.0,1.164433333,0.0,2.5482468105652,0.0,0.0,0.0,3.0e-5,0.318515684774292,1.54955,0.0,0.0,0.0,0.0,0.0,0.0,0.051550666666667,0.063028093647548,0.013776,0.005857984521586,0.0,1000.0,0.02310699323129,0.0,0.0,3.44226311498977,1.607833333,0.0,957.3177197213132,0.7429454639487421,1.756166667,0.0,0.0,0.258,5.81292243656448,0.0,0.0,0.055402981394952,0.035171753206554,0.006378622722433,0.0,1.364916667,0.0,5.68248099036394,0.233,0.0,1.591416667,0.0,2.475933333,0.0,1.684316667,0.0,0.211656085820291,0.053645096577135655,0.8930446556581642,1.892766667,0.0,0.0,0.181,3.755091511396789e-9,0.0,0.00215,0.0,6.749624490848864e-5,2.1368548053755518e-5,10000.0,0.0,100000.0,100000.0,0.0,3.49962449084886e-5
0.06,4.996231671200744e-6,0.0,0.0165,0.0,0.0918,6.12540218007279,0.0,0.0,0.0,0.0,0.016681827213516,0.0,0.0,0.0,25.9255391111111,0.196526666666667,1.07,0.7965461028149,0.0,0.0,0.390902589657131,3.057083333,0.0,0.06650133625204144,1.742066667,0.0,0.732083333,0.0,1.684433333,0.0,1.4708102804187242,0.0,0.0,0.202160661300444,0.0,0.002475905047875,0.0,0.12246630140684023,0.0752,1.37,0.9093896247518322,0.125033333,0.0,3.06,0.0,0.038087158609818,0.0,0.029223321159843,0.0,3.64342489758374,0.0,0.0,0.0,0.575481519275778,0.0,2.194359885413,0.045794166353884,0.0,0.0,0.145815640978631,0.002034885447452,0.276016667,0.0,104.3866667,0.0,0.0,0.376776333333333,2.055666667,0.0,0.0,0.04642022418645392,0.8551706574198382,0.0,94743.94808117648,0.0,100000.0,0.0,1.743616667,0.0,0.0,0.003332625288528,1.5016,0.0,0.272,0.0,2.1335490438458,1.5048,0.0,1.164433333,0.0,2.5482468105652,0.0,0.0,0.0,3.0e-5,0.318515684774292,1.54955,0.0,0.0,0.0,0.0,0.0,0.0,0.051550666666667,0.063028093647548,0.013776,0.005857984521586,0.0,1000.0,0.02310699323129,0.0,0.0,3.44226311498977,1.607833333,0.0,948.9877837040959,0.7004174596359902,1.756166667,0.0,0.0,0.258,5.81292243656448,0.0,0.0,0.055402981394952,0.035171753206554,0.006378622722433,0.0,1.364916667,0.0,5.68248099036394,0.233,0.0,1.591416667,0.0,2.475933333,0.0,1.684316667,0.0,0.211656085820291,0.06009267224135906,0.9023239751401638,1.892766667,0.0,0.0,0.181,3.768328799253722e-9,0.0,0.00215,0.0,6.749623167120077e-5,2.5546852016940906e-5,10000.0,0.0,100000.0,100000.0,0.0,3.4996231671200746e-5
0.07,4.99621772670389e-6,0.0,0.0165,0.0,0.0918,6.12540218007279,0.0,0.0,0.0,0.0,0.016681827213516,0.0,0.0,0.0,25.9255391111111,0.196526666666667,1.07,0.7965461028149,0.0,0.0,0.390902589657131,3.057083333,0.0,0.07414647916609671,1.742066667,0.0,0.732083333,0.0,1.684433333,0.0,1.4571691819801078,0.0,0.0,0.202160661300444,0.0,0.002475905047875,0.0,0.13499614723725145,0.0752,1.37,0.9115213696611414,0.125033333,0.0,3.06,0.0,0.038087158609818,0.0,0.029223321159843,0.0,3.64342489758374,0.0,0.0,0.0,0.575481519275778,0.0,2.194359885413,0.045794166353884,0.0,0.0,0.145815640978631,0.002034885447452,0.276016667,0.0,104.3866667,0.0,0.0,0.376776333333333,2.055666667,0.0,0.0,0.05274630801717646,0.8527271099805865,0.0,93895.23359459582,0.0,100000.0,0.0,1.743616667,0.0,0.0,0.003332625288528,1.5016,0.0,0.272,0.0,2.1335490438458,1.5048,0.0,1.164433333,0.0,2.5482468105652,0.0,0.0,0.0,3.0e-5,0.318515684774292,1.54955,0.0,0.0,0.0,0.0,0.0,0.0,0.051550666666667,0.063028093647548,0.013776,0.005857984521586,0.0,1000.0,0.02310699323129,0.0,0.0,3.44226311498977,1.607833333,0.0,940.7260712073733,0.6604505799334118,1.756166667,0.0,0.0,0.258,5.81292243656448,0.0,0.0,0.055402981394952,0.035171753206554,0.006378622722433,0.0,1.364916667,0.0,5.68248099036394,0.233,0.0,1.591416667,0.0,2.475933333,0.0,1.684316667,0.0,0.211656085820291,0.0664847589487527,0.9115066256744077,1.892766667,0.0,0.0,0.181,3.7822732961081944e-9,0.0,0.00215,0.0,6.749621772670391e-5,2.9693668717300143e-5,10000.0,0.0,100000.0,100000.0,0.0,3.4996217726703896e-5
0.08,4.996203093548938e-6,0.0,0.0165,0.0,0.0918,6.12540218007279,0.0,0.0,0.0,0.0,0.016681827213516,0.0,0.0,0.0,25.9255391111111,0.196526666666667,1.07,0.7965461028149,0.0,0.0,0.390902589657131,3.057083333,0.0,0.08177187505593243,1.742066667,0.0,0.732083333,0.0,1.684433333,0.0,1.44371746435592,0.0,0.0,0.202160661300444,0.0,0.002475905047875,0.0,0.14741659000297846,0.0752,1.37,0.9136299008372364,0.125033333,0.0,3.06,0.0,0.038087158609818,0.0,0.029223321159843,0.0,3.64342489758374,0.0,0.0,0.0,0.575481519275778,0.0,2.194359885413,0.045794166353884,0.0,0.0,0.145815640978631,0.002034885447452,0.276016667,0.0,104.3866667,0.0,0.0,0.376776333333333,2.055666667,0.0,0.0,0.05901488028030448,0.8503198801534904,0.0,93054.13125249016,0.0,100000.0,0.0,1.743616667,0.0,0.0,0.003332625288528,1.5016,0.0,0.272,0.0,2.1335490438458,1.5048,0.0,1.164433333,0.0,2.5482468105652,0.0,0.0,0.0,3.0e-5,0.318515684774292,1.54955,0.0,0.0,0.0,0.0,0.0,0.0,0.051550666666667,0.063028093647548,0.013776,0.005857984521586,0.0,1000.0,0.02310699323129,0.0,0.0,3.44226311498977,1.607833333,0.0,932.5322835753844,0.6228932192192251,1.756166667,0.0,0.0,0.258,5.81292243656448,0.0,0.0,0.055402981394952,0.035171753206554,0.006378622722433,0.0,1.364916667,0.0,5.68248099036394,0.233,0.0,1.591416667,0.0,2.475933333,0.0,1.684316667,0.0,0.211656085820291,0.07282183949440928,0.9205936143485954,1.892766667,0.0,0.0,0.181,3.796906451060783e-9,0.0,0.00215,0.0,6.749620309354896e-5,3.380923504526046e-5,10000.0,0.0,100000.0,100000.0,0.0,3.4996203093548945e-5
0.09,4.996187791389526e-6,0.0,0.0165,0.0,0.0918,6.12540218007279,0.0,0.0,0.0,0.0,0.016681827213516,0.0,0.0,0.0,25.9255391111111,0.196526666666667,1.07,0.7965461028149,0.0,0.0,0.390902589657131,3.057083333,0.0,0.08937754279504692,1.742066667,0.0,0.732083333,0.0,1.684433333,0.0,1.4304524984337685,0.0,0.0,0.202160661300444,0.0,0.002475905047875,0.0,0.1597285907842442,0.0752,1.37,0.9157154711313519,0.125033333,0.0,3.06,0.0,0.038087158609818,0.0,0.029223321159843,0.0,3.64342489758374,0.0,0.0,0.0,0.575481519275778,0.0,2.194359885413,0.045794166353884,0.0,0.0,0.145815640978631,0.002034885447452,0.276016667,0.0,104.3866667,0.0,0.0,0.376776333333333,2.055666667,0.0,0.0,0.06522647325168278,0.8479484282455684,0.0,92220.57266050162,0.0,100000.0,0.0,1.743616667,0.0,0.0,0.003332625288528,1.5016,0.0,0.272,0.0,2.1335490438458,1.5048,0.0,1.164433333,0.0,2.5482468105652,0.0,0.0,0.0,3.0e-5,0.318515684774292,1.54955,0.0,0.0,0.0,0.0,0.0,0.0,0.051550666666667,0.063028093647548,0.013776,0.005857984521586,0.0,1000.0,0.02310699323129,0.0,0.0,3.44226311498977,1.607833333,0.0,924.4061072962096,0.587602547374823,1.756166667,0.0,0.0,0.258,5.81292243656448,0.0,0.0,0.055402981394952,0.035171753206554,0.006378622722433,0.0,1.364916667,0.0,5.68248099036394,0.233,0.0,1.591416667,0.0,2.475933333,0.0,1.684316667,0.0,0.211656085820291,0.0791043924472141,0.929585937802241,1.892766667,0.0,0.0,0.181,3.812208610472946e-9,0.0,0.00215,0.0,6.749618779138954e-5,3.789378612426037e-5,10000.0,0.0,100000.0,100000.0,0.0,3.499618779138953e-5
